ano_competencia,mes_competencia,municipio,sigla_uf,valor_parcela
2023,9,Olho d'Água Grande,AL,50.0
2023,9,Olho d'Água Grande,AL,50.0
2023,9,Olivença,AL,50.0
2023,9,Olivença,AL,50.0
2023,9,Olivença,AL,50.0
2023,9,Olivença,AL,50.0
2023,9,Ouro Branco,AL,50.0
2023,9,Ouro Branco,AL,50.0
2023,9,Ouro Branco,AL,50.0
2023,9,Paripueira,AL,50.0
2023,9,Paripueira,AL,50.0
2023,9,Paripueira,AL,50.0
2023,9,Paripueira,AL,50.0
2023,9,Paripueira,AL,50.0
2023,9,Paripueira,AL,50.0
2023,9,Passo de Camaragibe,AL,50.0
2023,9,Penedo,AL,50.0
2023,9,Piaçabuçu,AL,50.0
2023,9,Piranhas,AL,50.0
2023,9,Poço das Trincheiras,AL,50.0
2023,9,Santana do Ipanema,AL,50.0
2023,9,Santana do Ipanema,AL,50.0
2023,9,São José da Laje,AL,50.0
2023,9,São José da Laje,AL,50.0
2023,9,São José da Laje,AL,50.0
2023,9,São José da Laje,AL,50.0
2023,9,São José da Laje,AL,50.0
2023,9,São José da Laje,AL,50.0
2023,9,São José da Laje,AL,50.0
2023,9,São José da Tapera,AL,50.0
2023,9,São Sebastião,AL,50.0
2023,9,São Sebastião,AL,50.0
2023,9,São Sebastião,AL,50.0
2023,9,São Sebastião,AL,50.0
2023,9,São Sebastião,AL,50.0
2023,9,São Sebastião,AL,50.0
2023,9,Teotônio Vilela,AL,50.0
2023,9,Traipu,AL,50.0
2023,9,Maceió,AL,100.0
2023,9,Olivença,AL,100.0
2023,9,São José da Laje,AL,100.0
2023,9,Teotônio Vilela,AL,158.0
2023,9,Água Branca,AL,180.0
2023,9,Água Branca,AL,180.0
2023,9,Anadia,AL,180.0
2023,9,Anadia,AL,180.0
2023,9,Anadia,AL,180.0
2023,9,Anadia,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
2023,9,Arapiraca,AL,180.0
